NEW_SALEDATE,NEW_YEAR,MONTH,MAKE,MODEL,MAX_SELLING_PRICE,MIN_SELLING_PRICE,AVG_SELLING_PRICE,AVG_MILEAGE,MAX_MILEAGE,MIN_MILEAGE,TOTAL_SALES,TOTAL_REVENUE,PRICE_BUCKET,MILEAGE_CATEGORY
2015-06-18T03:00:00Z,2015,Jun,Lexus,IS 250 C,40200,13600,25960.000000,33684.136000,118512,3265,125,3245000,BUDGET,High Mileage
2015-06-19T02:00:00Z,2015,Jun,Mazda,MX-5 Miata,26250,400,12058.370044,58179.616740,246169,276,227,2737250,BUDGET,High Mileage
2015-06-30T10:10:00Z,2015,Jun,Mitsubishi,Galant,14300,100,3839.092496,114210.607330,273206,1,573,2199800,BUDGET,High Mileage
2015-06-19T02:00:00Z,2015,Jun,Toyota,Prius c,18500,7500,12835.470085,33645.675214,180187,791,117,1501750,BUDGET,High Mileage
2015-07-09T08:30:00Z,2015,Jul,Ford,F-250 Super Duty,58500,500,20598.652208,100487.740133,480747,1,2559,52711951,BUDGET,High Mileage
2015-07-08T07:30:00Z,2015,Jul,Cadillac,Escalade ESV,79600,2700,24736.081600,96273.361600,303457,4727,625,15460051,BUDGET,High Mileage
2015-06-19T02:15:00Z,2015,Jun,Dodge,Dakota,18000,225,5375.679934,121448.437811,341942,1,603,3241535,BUDGET,High Mileage
2015-07-07T06:15:00Z,2015,Jul,GMC,Yukon,66000,300,16923.835397,110191.425346,411053,1,1373,23236426,BUDGET,High Mileage
2015-06-19T02:35:00Z,2015,Jun,Chevrolet,TrailBlazer,20100,300,4365.489850,125038.639894,300372,1,1133,4946100,BUDGET,High Mileage
2015-06-18T02:35:00Z,2015,Jun,Mitsubishi,Raider,10750,2600,6468.518519,106744.074074,291043,50833,27,174650,BUDGET,High Mileage
2015-06-24T05:30:00Z,2015,Jun,Cadillac,STS,21400,700,7085.643564,100577.656766,453041,1,303,2146950,BUDGET,High Mileage
2015-06-19T02:00:00Z,2015,Jun,GMC,Envoy XUV,7100,1400,3470.535714,129425.160714,343709,68217,56,194350,BUDGET,High Mileage
2015-07-07T06:15:00Z,2015,Jul,Lexus,RX 330,16600,4400,9235.523114,138026.070560,288586,43658,411,3795800,BUDGET,High Mileage
2015-06-19T02:00:00Z,2015,Jun,Lexus,ES 300,9500,250,3160.236220,157437.057743,999999,1,381,1204050,BUDGET,High Mileage
2015-06-18T05:15:00Z,2015,Jun,Volvo,S70,4000,225,761.148649,158657.635135,308574,1,74,56325,BUDGET,High Mileage
2015-07-09T06:20:00Z,2015,Jul,Mercedes-Benz,CLS-Class,85250,6000,29916.890756,64052.472689,198829,212,476,14240440,BUDGET,High Mileage
2015-06-17T02:30:00Z,2015,Jun,Saturn,Astra,7000,1600,3890.740741,86999.092593,154420,37584,54,210100,BUDGET,High Mileage
2015-06-19T02:30:00Z,2015,Jun,GMC,Envoy XL,10600,400,3771.129707,139666.502092,297703,1,239,901300,BUDGET,High Mileage
2015-06-24T02:00:00Z,2015,Jun,Mercedes-Benz,CLA-Class,76750,8600,30720.149254,14248.940299,52849,635,134,4116500,BUDGET,Medium Mileage
